Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,213,52,49,20,1.6718995290423864
CB,176,89,15,54,7.119101123595507
CF,134,131,35,34,0.9936750272628135
CUTS,204,61,46,23,1.6721311475409835
DR_L,161,104,36,33,1.4190705128205128
EP_L,201,64,43,26,1.898982558139535
FDR,145,120,12,57,5.739583333333333
LR,138,127,35,34,1.0555680539932508
NN,154,111,38,31,1.1318160265528685
RF,156,109,34,35,1.4732865623313547
R_L,135,130,31,38,1.272952853598015
SVR,177,88,27,42,3.128787878787879
S_L,152,113,41,28,0.9186272393697388
XGB,127,138,34,35,0.9473572037510656
X_L,180,85,53,16,0.639289678135405
