Method,Recovery_Ratio,Recovery_Ratio_std,CAU,CAU_std,CAU_pp,CAU_pp_std,RRD,RRD_std,RRD_pp,RRD_pp_std,extra_recoveries,extra_recoveries_std,Following_Count,NotFollowing_Count,Following_Recovery,NotFollowing_Recovery,N_Runs,N_Valid_CAU_Runs,CAU_ci95_lo,CAU_ci95_hi,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD_ci95_lo,RRD_ci95_hi,RRD_pp_ci95_lo,RRD_pp_ci95_hi,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU_pp_perm_p
BITES,3.316326530612245,,0.048504273504273505,,4.850427350427351,,0.4989010989010989,,49.89010989010989,,3.4923076923076923,,7.0,65.0,5.0,14.0,1,1,0.005907287157287176,0.09722222222222221,0.5907287157287177,9.722222222222221,0.08652452025586356,0.833457711442786,8.652452025586356,83.3457711442786,1.3400000000000003,6.80285714285714,0.004995004995004995
CB,2.5105263157894733,,0.07520964360587001,,7.520964360587001,,0.2850049652432969,,28.500496524329687,,5.415094339622641,,19.0,53.0,9.0,10.0,1,1,0.011101939203354304,0.14977866146458574,1.1101939203354303,14.977866146458574,0.04753678524864973,0.5269585561497325,4.753678524864973,52.69585561497325,1.2,5.662028985507246,0.008991008991008992
CF,1.125,,0.013888888888888888,,1.3888888888888888,,0.03125,,3.125,,1.0,,32.0,40.0,9.0,10.0,1,1,-0.07225961538461532,0.10280495169082123,-7.225961538461533,10.280495169082123,-0.15919119178693644,0.24287082066869303,-15.919119178693643,24.287082066869303,0.4966700473292766,2.6463414634146343,0.7602397602397603
CUTS,0.9230769230769231,,-0.006944444444444438,,-0.6944444444444438,,-0.020833333333333315,,-2.0833333333333313,,-0.49999999999999956,,24.0,48.0,6.0,13.0,1,1,-0.0764046717171717,0.0659373944613306,-7.64046717171717,6.59373944613306,-0.22377462121212108,0.18752029220779218,-22.37746212121211,18.752029220779217,0.29991379310344835,2.0204081632653064,0.7832167832167832
DR_L,1.3846153846153846,,0.023148148148148147,,2.314814814814815,,0.09259259259259259,,9.25925925925926,,1.6666666666666665,,18.0,54.0,6.0,13.0,1,1,-0.036340408805031435,0.0941561844863731,-3.6340408805031434,9.415618448637309,-0.15968139537431658,0.36230224634455344,-15.968139537431657,36.23022463445534,0.4208204334365327,3.5,0.6743256743256744
FDR,2.8655913978494625,,0.11754742547425477,,11.754742547425478,,0.2730133752950433,,27.301337529504334,,8.463414634146343,,31.0,41.0,13.0,6.0,1,1,0.03096405228758171,0.2156432748538012,3.096405228758171,21.56432748538012,0.07233844170014385,0.485099887113878,7.233844170014385,48.509988711387805,1.373920795795796,9.0125,0.012987012987012988
R_L,0.411764705882353,,-0.03968253968253967,,-3.9682539682539675,,-0.17857142857142855,,-17.857142857142854,,-2.8571428571428563,,16.0,56.0,2.0,17.0,1,1,-0.08712572150072148,0.006001984126984081,-8.712572150072146,0.6001984126984082,-0.375,0.030934873949579722,-37.5,3.093487394957972,0.0,1.135019841269841,0.5694305694305695
S_L,2.911764705882353,,0.08207070707070707,,8.207070707070708,,0.34759358288770054,,34.75935828877005,,5.909090909090909,,17.0,55.0,9.0,10.0,1,1,0.018826728671428067,0.15705128205128205,1.8826728671428068,15.705128205128204,0.09250992063492074,0.6009563961361378,9.250992063492074,60.095639613613784,1.3995238095238098,6.666964285714285,0.005994005994005994
XGB,2.142857142857143,,0.08888888888888889,,8.88888888888889,,0.2,,20.0,,6.4,,32.0,40.0,12.0,7.0,1,1,0.003198877068557931,0.1836148648648648,0.3198877068557931,18.36148648648648,0.008510638297872353,0.39999999999999997,0.8510638297872353,40.0,1.0414798850574711,5.638241758241757,0.024975024975024976
X_L,1.746031746031746,,0.059343434343434344,,5.934343434343434,,0.1525974025974026,,15.259740259740258,,4.2727272727272725,,28.0,44.0,10.0,9.0,1,1,-0.01666666666666667,0.1491340530814215,-1.666666666666667,14.91340530814215,-0.04248069498069494,0.37506638473642795,-4.248069498069494,37.506638473642795,0.8333333333333334,4.449488320355949,0.060939060939060936
