Method,Run,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,1,41.0,2.0,1.6006,1.4405
BITES,2,42.0,1.0,1.5992,1.341
BITES,3,42.0,1.0,1.5992,1.341
BITES,4,42.0,1.0,1.5992,1.341
BITES,5,41.0,2.0,1.5878,1.7035
BITES,6,42.0,1.0,1.5992,1.341
BITES,7,41.0,2.0,1.6164,1.1165
BITES,8,42.0,1.0,1.5992,1.341
BITES,9,40.0,3.0,1.518,2.5957
BITES,10,42.0,1.0,1.5992,1.341
CB,1,30.0,13.0,1.8558,0.9872
CB,2,31.0,12.0,1.6717,1.3904
CB,3,30.0,13.0,1.6608,1.4372
CB,4,30.0,13.0,1.6635,1.431
CB,5,33.0,10.0,1.6254,1.4868
CB,6,33.0,10.0,1.6753,1.3223
CB,7,30.0,13.0,1.6451,1.4735
CB,8,31.0,12.0,1.712,1.2863
CB,9,30.0,13.0,1.8131,1.0858
CB,10,31.0,12.0,1.7323,1.2338
CF,1,33.0,10.0,1.5957,1.585
CF,2,28.0,15.0,1.728,1.3416
CF,3,29.0,14.0,1.5429,1.6974
CF,4,35.0,8.0,1.4399,2.2639
CF,5,33.0,10.0,1.7008,1.238
CF,6,38.0,5.0,1.6339,1.2838
CF,7,37.0,6.0,1.6198,1.4288
CF,8,27.0,16.0,1.6346,1.5233
CF,9,38.0,5.0,1.6024,1.523
CF,10,28.0,15.0,1.6209,1.5415
CUTS,1,28.0,15.0,1.4698,1.8235
CUTS,2,31.0,12.0,1.6495,1.4477
CUTS,3,31.0,12.0,1.5235,1.7731
CUTS,4,31.0,12.0,1.5816,1.6232
CUTS,5,27.0,16.0,1.3109,2.0696
CUTS,6,23.0,20.0,1.3148,1.9134
CUTS,7,28.0,15.0,1.6323,1.5202
CUTS,8,31.0,12.0,1.3508,2.2194
CUTS,9,28.0,15.0,1.4217,1.9132
CUTS,10,28.0,15.0,1.548,1.6776
DR_L,1,27.0,7.0,1.6133,1.5511
DR_L,2,29.0,5.0,1.5061,1.2948
DR_L,3,20.0,5.0,1.4302,0.8082
DR_L,4,30.0,5.0,1.4935,2.2374
DR_L,5,24.0,11.0,1.5619,1.9417
DR_L,6,31.0,3.0,1.6233,1.0073
DR_L,7,22.0,12.0,1.4629,1.9538
DR_L,8,25.0,9.0,1.5943,1.59
DR_L,9,25.0,10.0,1.8163,1.5642
DR_L,10,28.0,6.0,1.7541,1.35
FDR,1,30.0,13.0,1.7582,1.2124
FDR,2,32.0,11.0,1.5942,1.5903
FDR,3,32.0,11.0,1.6625,1.3915
FDR,4,35.0,8.0,1.6291,1.436
FDR,5,30.0,13.0,1.7508,1.2295
FDR,6,32.0,11.0,1.5819,1.6261
FDR,7,33.0,10.0,1.5979,1.5775
FDR,8,34.0,9.0,1.6416,1.4103
FDR,9,29.0,14.0,1.7825,1.201
FDR,10,35.0,8.0,1.6136,1.5037
R_L,1,25.0,9.0,1.6474,1.4703
R_L,2,17.0,17.0,1.0549,1.8952
R_L,3,22.0,3.0,1.3938,0.66
R_L,4,28.0,7.0,1.3947,2.4203
R_L,5,23.0,12.0,1.5343,1.9628
R_L,6,29.0,5.0,1.5526,1.6638
R_L,7,28.0,6.0,1.8656,0.5653
R_L,8,23.0,11.0,1.6501,1.4741
R_L,9,28.0,7.0,1.7828,1.59
R_L,10,24.0,10.0,1.6735,1.7051
S_L,1,31.0,12.0,1.5829,1.6198
S_L,2,37.0,6.0,1.657,1.1998
S_L,3,35.0,8.0,1.7157,1.0573
S_L,4,38.0,5.0,1.471,2.522
S_L,5,29.0,14.0,1.4078,1.9773
S_L,6,38.0,5.0,1.5858,1.6492
S_L,7,31.0,12.0,1.3728,2.1624
S_L,8,32.0,11.0,1.5854,1.6158
S_L,9,31.0,12.0,1.6362,1.4822
S_L,10,33.0,10.0,1.7225,1.1666
XGB,1,32.0,11.0,1.7277,1.2019
XGB,2,28.0,15.0,1.6421,1.5019
XGB,3,34.0,9.0,1.7059,1.1676
XGB,4,32.0,11.0,1.806,0.9741
XGB,5,29.0,14.0,1.522,1.7406
XGB,6,31.0,12.0,1.6431,1.4642
XGB,7,32.0,11.0,1.7096,1.2545
XGB,8,26.0,17.0,1.588,1.6011
XGB,9,34.0,9.0,1.7264,1.0901
XGB,10,28.0,15.0,1.9076,1.0062
X_L,1,33.0,10.0,1.7142,1.194
X_L,2,29.0,14.0,1.4977,1.791
X_L,3,38.0,5.0,1.5818,1.6798
X_L,4,34.0,9.0,1.5769,1.6548
X_L,5,33.0,10.0,1.5428,1.7596
X_L,6,37.0,6.0,1.5816,1.6643
X_L,7,34.0,9.0,1.5164,1.8833
X_L,8,33.0,10.0,1.6475,1.414
X_L,9,31.0,12.0,1.6465,1.4556
X_L,10,35.0,8.0,1.6583,1.3081
