Method,Recovery_Ratio,Recovery_Ratio_std,CAU,CAU_std,CAU_pp,CAU_pp_std,RRD,RRD_std,RRD_pp,RRD_pp_std,extra_recoveries,extra_recoveries_std,Following_Count,NotFollowing_Count,Following_Recovery,NotFollowing_Recovery,N_Runs,N_Valid_CAU_Runs,CAU_ci95_lo,CAU_ci95_hi,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD_ci95_lo,RRD_ci95_hi,RRD_pp_ci95_lo,RRD_pp_ci95_hi,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU_pp_perm_p
BITES,0.0,0.0,-0.009316708532533831,0.004592718271956956,-0.9316708532533831,0.45927182719569565,-0.2651306620209059,0.004592718271956959,-26.513066202090595,0.4592718271956956,-0.40061846689895475,0.19748688569414913,1.5,41.5,0.0,11.0,10,10,-0.014421228595688475,-0.004761379918439325,-1.4421228595688476,-0.4761379918439325,-0.31145451308527683,-0.22195028323317134,-31.145451308527683,-22.195028323317135,0.0,0.0,0.0899100899100899
CB,1.4913390313390313,0.8201027644768231,0.02302802973470641,0.04654031386611877,2.302802973470641,4.654031386611876,0.08041920445146253,0.1565849481366114,8.041920445146252,15.65849481366114,0.9902052785923756,2.0012334962431066,12.1,30.9,3.8,7.2,10,10,-0.0024709746997826965,0.05107223801938941,-0.24709746997826967,5.107223801938941,-0.008923978542103759,0.1806470650449498,-0.8923978542103758,18.06470650449498,0.9628746279761907,1.8921227590341716,0.5134865134865135
CF,1.196984126984127,0.5978975114853405,0.008166112845976098,0.032714703362409045,0.8166112845976097,3.2714703362409043,0.03211406411950877,0.15750574674018658,3.2114064119508767,15.750574674018656,0.35114285237697224,1.4067322445835888,10.4,32.6,2.9,8.1,10,10,-0.016298721543376277,0.03168609109716079,-1.6298721543376276,3.16860910971608,-0.06720674580055414,0.1310199526955662,-6.720674580055413,13.101995269556621,0.7529884132920065,1.5871528204497973,0.5144855144855145
CUTS,0.5138227513227512,0.40467999209820926,-0.05678910238256597,0.04228604805586088,-5.678910238256597,4.228604805586088,-0.16635305587093807,0.13023143922032243,-16.635305587093804,13.023143922032242,-2.441931402450337,1.818300066402018,14.4,28.6,2.1,8.9,10,10,-0.08115283737070762,-0.02686349848331649,-8.115283737070763,-2.6863498483316492,-0.2406718436247653,-0.08183438841260848,-24.06718436247653,-8.183438841260848,0.2993692776265093,0.7047490625801398,0.002997002997002997
DR_L,0.9108910533910534,0.5423625859278971,-0.013104347850307415,0.03536719703854117,-1.3104347850307414,3.536719703854117,-0.044911664716447815,0.15948565284945523,-4.491166471644782,15.948565284945522,-0.4729049697675949,1.2019194087848137,7.3,26.1,1.6,7.2,10,10,-0.03685665788782389,0.011309304467987107,-3.685665788782389,1.1309304467987107,-0.16753358048230366,0.05130016979648257,-16.753358048230364,5.130016979648256,0.446779552008914,1.209629836683522,0.3036963036963037
FDR,1.4683514055389055,0.35502326842155685,0.026906033737399603,0.02152407030180553,2.69060337373996,2.152407030180553,0.1004718671288144,0.07167658129281723,10.04718671288144,7.167658129281723,1.1569594507081828,0.9255350229776379,10.8,32.2,3.6,7.4,10,10,0.002046733730951956,0.05362295622540943,0.20467337309519557,5.362295622540943,0.008145961647807412,0.21334580899947678,0.8145961647807411,21.334580899947678,1.0351673981882314,2.047810189966102,0.02097902097902098
R_L,1.1091803751803753,0.799094994774656,-0.016513629930642017,0.07111444257018056,-1.6513629930642015,7.111444257018056,-0.005596644954833518,0.24667789175477411,-0.5596644954833522,24.667789175477413,-0.6180150833674073,2.392439281491578,8.7,24.7,2.0,6.8,10,10,-0.038362941898629516,0.014587031470655518,-3.8362941898629517,1.4587031470655518,-0.14985269849984056,0.059352317018878484,-14.985269849984057,5.935231701887848,0.5091688532522293,1.24500497567448,0.3966033966033966
S_L,0.7307704725829726,0.5578357718497235,-0.023702628644494222,0.03864174966897599,-2.3702628644494217,3.864174966897599,-0.09244948256576675,0.16042721920178254,-9.244948256576675,16.042721920178252,-1.0192130317132515,1.6615952357659678,9.5,33.5,1.7,9.3,10,10,-0.04073991618648508,-0.0016660955413295006,-4.073991618648508,-0.16660955413295006,-0.18291655655391117,-0.0076567324271222,-18.291655655391118,-0.76567324271222,0.38644820119161494,0.9687003968253968,0.054945054945054944
XGB,1.6817991044902807,0.5487777016198081,0.03648299347965739,0.02861855230536556,3.6482993479657386,2.8618552305365563,0.13615584077220372,0.10740945684007733,13.61558407722037,10.740945684007734,1.5687687196252678,1.2305977491307192,12.4,30.6,4.3,6.7,10,10,0.010870552032912699,0.06531796065444723,1.08705520329127,6.531796065444723,0.03925279533286574,0.2251979065231182,3.925279533286574,22.519790652311823,1.1574657520305112,2.1489340308491816,0.022977022977022976
X_L,0.6450271164021164,0.48690633326533694,-0.023595847043349254,0.028773236258827065,-2.3595847043349254,2.877323625882706,-0.11067964180156262,0.14359193297436826,-11.067964180156263,14.359193297436827,-1.014621422864018,1.2372491591295636,9.3,33.7,1.6,9.4,10,10,-0.043046019996991064,-0.0023252332544213944,-4.3046019996991065,-0.23252332544213944,-0.19430716496419564,-0.010836056481370546,-19.430716496419567,-1.0836056481370546,0.3505922584145765,0.9584180622009568,0.07692307692307693
