Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,43,0,11,0,
CB,32,11,6,5,2.4242424242424243
CF,33,10,8,3,1.2374999999999998
CUTS,28,15,9,2,0.4148148148148148
DR_L,27,7,6,2,1.2857142857142858
EP_L,29,14,8,3,0.7767857142857143
FDR,28,15,5,6,2.24
LR,39,4,9,2,2.1666666666666665
NN,40,3,10,1,1.3333333333333333
RF,32,11,7,4,1.6623376623376624
R_L,25,9,5,3,1.6666666666666665
SVR,27,16,6,5,1.40625
S_L,31,12,9,2,0.574074074074074
XGB,32,11,6,5,2.4242424242424243
X_L,33,10,8,3,1.2374999999999998
