Method,Following_Avg_RCB,Following_Avg_RCB_std,NotFollowing_Avg_RCB,NotFollowing_Avg_RCB_std,Following_Count,NotFollowing_Count,N_Runs
BITES,1.61094,0.2323617208864948,1.7581499999999999,0.04239314016834954,22.1,124.9,10
CB,1.37052,0.09309932330581142,1.9634999999999998,0.060353937549904486,57.2,89.8,10
CF,1.57916,0.16695834610265325,1.84633,0.12577764374747474,67.4,79.6,10
CUTS,1.57318,0.14292981027996454,1.78755,0.04656697088900863,37.8,109.2,10
DR_L,1.65256,0.08915144667611648,1.76723,0.04253696562337805,45.4,101.6,10
FDR,1.31497,0.05562269820455999,2.00421,0.05966931930788765,57.5,89.5,10
R_L,2.4069499999999997,0.06441958380630679,1.41857,0.048450823866404286,46.7,100.3,10
S_L,1.53232,0.11415157369820964,1.81783,0.042882009954965696,45.4,101.6,10
XGB,1.58987,0.16107635904888226,1.80501,0.08501191354418777,51.0,96.0,10
X_L,1.20587,0.0732446896065206,2.06279,0.03992321658161113,56.7,90.3,10
