Method,Run,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,1,121.0,26.0,1.8106,1.3705
BITES,2,132.0,15.0,1.7411,1.6595
BITES,3,118.0,29.0,1.7462,1.678
BITES,4,131.0,16.0,1.6991,2.0084
BITES,5,121.0,26.0,1.7982,1.4283
BITES,6,119.0,28.0,1.8214,1.3561
BITES,7,122.0,25.0,1.7506,1.6456
BITES,8,134.0,13.0,1.7665,1.3852
BITES,9,126.0,21.0,1.6972,1.9462
BITES,10,125.0,22.0,1.7506,1.6316
CB,1,91.0,56.0,1.9378,1.3995
CB,2,89.0,58.0,1.9275,1.4339
CB,3,89.0,58.0,2.0006,1.3218
CB,4,92.0,55.0,1.8739,1.4966
CB,5,92.0,55.0,2.0199,1.2525
CB,6,91.0,56.0,2.0066,1.2877
CB,7,90.0,57.0,1.9152,1.4446
CB,8,86.0,61.0,1.9124,1.4794
CB,9,87.0,60.0,2.0702,1.2435
CB,10,91.0,56.0,1.9709,1.3457
CF,1,88.0,59.0,1.9768,1.3688
CF,2,60.0,87.0,1.8832,1.629
CF,3,70.0,77.0,1.796,1.6753
CF,4,84.0,63.0,1.7721,1.6803
CF,5,80.0,67.0,1.6742,1.8027
CF,6,70.0,77.0,1.6236,1.832
CF,7,82.0,65.0,1.9968,1.3997
CF,8,85.0,62.0,1.921,1.4746
CF,9,89.0,58.0,1.9247,1.4383
CF,10,88.0,59.0,1.8949,1.4909
CUTS,1,109.0,38.0,1.8252,1.4677
CUTS,2,106.0,41.0,1.7591,1.6648
CUTS,3,111.0,36.0,1.8463,1.3827
CUTS,4,111.0,36.0,1.6733,1.916
CUTS,5,110.0,37.0,1.7894,1.5645
CUTS,6,111.0,36.0,1.8129,1.4858
CUTS,7,114.0,33.0,1.7894,1.5371
CUTS,8,109.0,38.0,1.7976,1.5469
CUTS,9,103.0,44.0,1.7891,1.6009
CUTS,10,108.0,39.0,1.7932,1.5654
DR_L,1,110.0,37.0,1.7546,1.6678
DR_L,2,100.0,47.0,1.7918,1.6071
DR_L,3,98.0,49.0,1.718,1.7622
DR_L,4,108.0,39.0,1.804,1.5356
DR_L,5,94.0,53.0,1.7177,1.7595
DR_L,6,107.0,40.0,1.7667,1.6421
DR_L,7,101.0,46.0,1.7513,1.692
DR_L,8,98.0,49.0,1.755,1.6882
DR_L,9,103.0,44.0,1.7528,1.686
DR_L,10,97.0,50.0,1.8604,1.4851
FDR,1,101.0,46.0,1.9145,1.3337
FDR,2,86.0,61.0,2.0161,1.3332
FDR,3,90.0,57.0,1.9812,1.3405
FDR,4,87.0,60.0,2.0413,1.2853
FDR,5,85.0,62.0,2.117,1.206
FDR,6,81.0,66.0,2.0688,1.3204
FDR,7,92.0,55.0,1.9446,1.3785
FDR,8,87.0,60.0,1.9839,1.3686
FDR,9,91.0,56.0,1.9712,1.3453
FDR,10,95.0,52.0,2.0035,1.2382
R_L,1,100.0,47.0,1.4236,2.3905
R_L,2,105.0,42.0,1.4222,2.509
R_L,3,99.0,48.0,1.4067,2.4052
R_L,4,105.0,42.0,1.4801,2.3644
R_L,5,99.0,48.0,1.4573,2.301
R_L,6,103.0,44.0,1.4245,2.4544
R_L,7,107.0,40.0,1.4697,2.4364
R_L,8,93.0,54.0,1.3555,2.3824
R_L,9,104.0,43.0,1.4225,2.4832
R_L,10,88.0,59.0,1.3236,2.343
S_L,1,108.0,39.0,1.8639,1.3695
S_L,2,99.0,48.0,1.742,1.7137
S_L,3,104.0,43.0,1.8109,1.5438
S_L,4,114.0,33.0,1.8411,1.3585
S_L,5,96.0,51.0,1.8012,1.604
S_L,6,105.0,42.0,1.8085,1.5435
S_L,7,99.0,48.0,1.8141,1.5651
S_L,8,96.0,51.0,1.774,1.6552
S_L,9,102.0,45.0,1.8296,1.5132
S_L,10,93.0,54.0,1.893,1.4567
XGB,1,102.0,45.0,1.8455,1.4773
XGB,2,97.0,50.0,1.9135,1.3822
XGB,3,94.0,53.0,1.6955,1.7988
XGB,4,89.0,58.0,1.7285,1.7393
XGB,5,105.0,42.0,1.8398,1.4652
XGB,6,94.0,53.0,1.9352,1.3737
XGB,7,85.0,62.0,1.8562,1.5636
XGB,8,104.0,43.0,1.7845,1.6076
XGB,9,97.0,50.0,1.7275,1.743
XGB,10,93.0,54.0,1.7239,1.748
X_L,1,93.0,54.0,2.0442,1.1964
X_L,2,92.0,55.0,2.0485,1.2047
X_L,3,91.0,56.0,1.9808,1.3296
X_L,4,88.0,59.0,2.072,1.2268
X_L,5,89.0,58.0,2.1191,1.14
X_L,6,95.0,52.0,2.0969,1.0675
X_L,7,90.0,57.0,2.0927,1.1644
X_L,8,90.0,57.0,2.0711,1.1985
X_L,9,84.0,63.0,2.078,1.2724
X_L,10,91.0,56.0,2.0246,1.2584
