Method,Recovery_Ratio,Recovery_Ratio_std,CAU,CAU_std,CAU_pp,CAU_pp_std,RRD,RRD_std,RRD_pp,RRD_pp_std,extra_recoveries,extra_recoveries_std,Following_Count,NotFollowing_Count,Following_Recovery,NotFollowing_Recovery,N_Runs,N_Valid_CAU_Runs,CAU_ci95_lo,CAU_ci95_hi,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD_ci95_lo,RRD_ci95_hi,RRD_pp_ci95_lo,RRD_pp_ci95_hi,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU_pp_perm_p
BITES,0.926020216113848,0.2563797207948813,-0.0023959317840563385,0.009067262225329614,-0.23959317840563382,0.9067262225329614,-0.02131848583099462,0.06787934109294187,-2.131848583099462,6.787934109294187,-0.3522019722562817,1.3328875471234531,22.1,124.9,5.4,32.6,10,10,-0.011320254091063856,0.006885555174257708,-1.1320254091063855,0.6885555174257707,-0.07526386030828622,0.045458934737177464,-7.526386030828622,4.545893473717747,0.719557057327796,1.1781607829966638,0.6403596403596403
CB,1.1390147481023707,0.25808491357033037,0.011413366548016453,0.02383423043290051,1.1413366548016453,2.3834230432900507,0.02885901029110958,0.06231228560820923,2.885901029110958,6.231228560820923,1.6777648825584186,3.503631873636375,57.2,89.8,15.8,22.2,10,10,-0.006207892267349574,0.02839237663569365,-0.6207892267349574,2.839237663569365,-0.015882554642018813,0.0719486155708144,-1.5882554642018814,7.19486155708144,0.9397561112691434,1.315345281532965,0.21878121878121878
CF,1.0749943984267354,0.33043191027096697,0.0011103792273031684,0.038804579800823163,0.11103792273031687,3.8804579800823156,0.008039781503888893,0.08116455473136594,0.8039781503888893,8.116455473136593,0.1632257464135659,5.704273230721004,67.4,79.6,17.7,20.3,10,10,-0.017647465099875918,0.02423967801906318,-1.7647465099875916,2.423967801906318,-0.03868697252729586,0.05191763556030938,-3.868697252729586,5.191763556030938,0.8599696134821078,1.224929062356177,0.7472527472527473
CUTS,0.9636959216232304,0.23600867116808927,-0.003424788727571019,0.016716679596987288,-0.34247887275710187,1.6716679596987287,-0.013051389285768863,0.06618196661000408,-1.3051389285768864,6.618196661000407,-0.5034439429529397,2.457351900757131,37.8,109.2,9.4,28.6,10,10,-0.015976608261689073,0.010071753608506586,-1.5976608261689074,1.0071753608506586,-0.0637555385843249,0.037753155606833684,-6.37555385843249,3.7753155606833686,0.7684511739540066,1.151558202219311,0.6373626373626373
DR_L,1.034915605422651,0.20674254626603028,0.0013332991945029132,0.01465372757036703,0.1333299194502913,1.465372757036703,0.006280144623902928,0.05086751727506079,0.6280144623902928,5.086751727506079,0.19599498159192827,2.154097952843953,45.4,101.6,11.9,26.1,10,10,-0.012689337743781687,0.01664945834164612,-1.2689337743781688,1.664945834164612,-0.042667762906907734,0.05512925170068027,-4.266776290690774,5.512925170068026,0.8462484851702897,1.23048571101928,0.989010989010989
FDR,1.2464742520346088,0.21803075412016856,0.02226321415550738,0.01853869115601096,2.2263214155507383,1.8538691156010962,0.054606035746482554,0.0464625279975952,5.460603574648255,4.6462527997595195,3.272692480859585,2.7251875999336113,57.5,89.5,16.8,21.2,10,10,0.0029492329119194774,0.03921770472528595,0.2949232911919477,3.9217704725285945,0.007517793782203041,0.10160204472030078,0.751779378220304,10.160204472030077,1.030602606479299,1.45746640800935,0.12887112887112886
R_L,0.30198810103275564,0.0817357135116381,-0.07409389656631808,0.01667985828622116,-7.409389656631809,1.6679858286221159,-0.2328735546599725,0.035477289688921665,-23.28735546599725,3.5477289688921663,-10.89180279524876,2.4519391680745097,46.7,100.3,4.7,33.3,10,10,-0.0882656333349165,-0.06008217618418267,-8.826563333491649,-6.008217618418267,-0.272494863293433,-0.19080571953140485,-27.249486329343295,-19.080571953140485,0.22116502906685923,0.39527129381976317,0.000999000999000999
S_L,1.0402231109951732,0.13642687516802685,0.002550902746068669,0.01144789745630147,0.25509027460686695,1.144789745630147,0.008894452643214413,0.034458137532748706,0.8894452643214412,3.44581375327487,0.37498270367209435,1.6828409260763162,45.4,101.6,12.0,26.0,10,10,-0.011062529055426377,0.017568680030334887,-1.1062529055426378,1.756868003033489,-0.03600034214766541,0.05664264283328582,-3.600034214766541,5.664264283328582,0.8685097668524683,1.2404413550383944,0.977022977022977
XGB,1.158397458905623,0.4432607618323155,0.008003855463948996,0.034371658534730176,0.8003855463948998,3.4371658534730174,0.026106437063241977,0.10022744218098885,2.610643706324198,10.022744218098888,1.1765667532005024,5.052633804605335,51.0,96.0,14.0,24.0,10,10,-0.008384717183156021,0.0247235034787366,-0.8384717183156021,2.47235034787366,-0.024491361106079957,0.07207473304882821,-2.449136110607996,7.207473304882821,0.9071288323024074,1.3040314018732813,0.6533466533466533
X_L,1.6799124760306186,0.35518133165558796,0.051410487049582135,0.02275560940891036,5.141048704958213,2.275560940891036,0.13365938587403364,0.060868976283415345,13.365938587403367,6.086897628341536,7.557341596288573,3.345074583109823,56.7,90.3,19.3,18.7,10,10,0.03344127055970303,0.06965376710767475,3.3441270559703034,6.965376710767474,0.0878912672628893,0.17954102388998813,8.78912672628893,17.954102388998816,1.3802581273841228,1.965301121102812,0.000999000999000999
