Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,134,13,33,5,1.561771561771562
CB,88,59,21,17,1.2074253430185633
CF,88,59,18,20,1.6572504708097926
CUTS,109,38,27,11,1.168615984405458
DR_L,110,37,30,8,0.7927927927927929
EP_L,112,35,25,13,1.664
FDR,95,52,23,15,1.1914715719063544
LR,77,70,22,16,0.8
NN,117,30,32,6,0.73125
RF,86,61,20,18,1.2688524590163934
R_L,100,47,34,4,0.2503128911138923
SVR,91,56,23,15,1.059782608695652
S_L,108,39,28,10,0.9890109890109889
XGB,102,45,22,16,1.6484848484848484
X_L,93,54,21,17,1.3941798941798942
