Method,Following_Avg_RCB,Following_Avg_RCB_std,NotFollowing_Avg_RCB,NotFollowing_Avg_RCB_std,Following_Count,NotFollowing_Count,N_Runs
BITES,0.82183,0.5619513127388253,1.73974,0.05448449728541543,6.6,65.4,10
CB,1.09274,0.16641559889492188,1.9377300000000002,0.09056149598784002,23.8,48.2,10
CF,1.7959399999999999,0.11336369397259038,1.52555,0.12347697266202214,33.8,38.2,10
CUTS,1.29488,0.11516772117221037,1.90322,0.08323440527944098,29.0,43.0,10
DR_L,1.7916599999999998,0.1441848674445415,1.5609,0.1428925625931749,23.3,47.3,10
FDR,0.6521,0.105609227290464,2.07803,0.0995951253827213,21.0,51.0,10
R_L,1.6565999999999999,0.16645310984712122,1.62414,0.13877348610035153,24.4,46.2,10
S_L,1.2740399999999998,0.12851654627582645,1.78918,0.04966878742675773,18.2,53.8,10
XGB,1.1534200000000001,0.16898857160569566,1.8253899999999998,0.03860168246189394,18.4,53.6,10
X_L,0.74773,0.09244367714692255,1.97687,0.06011718279050226,18.5,53.5,10
