Method,Run,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,1,63.0,9.0,1.7328,1.1387
BITES,2,67.0,5.0,1.6753,1.4336
BITES,3,65.0,7.0,1.8167,0.1901
BITES,4,66.0,6.0,1.7892,0.2218
BITES,5,62.0,10.0,1.6886,1.4724
BITES,6,64.0,8.0,1.797,0.5514
BITES,7,67.0,5.0,1.6821,1.3428
BITES,8,68.0,4.0,1.7365,0.3327
BITES,9,66.0,6.0,1.69,1.313
BITES,10,66.0,6.0,1.7892,0.2218
CB,1,50.0,22.0,1.8884,1.1362
CB,2,47.0,25.0,1.907,1.1916
CB,3,47.0,25.0,1.8658,1.2689
CB,4,52.0,20.0,1.9562,0.8846
CB,5,51.0,21.0,1.9668,0.91
CB,6,45.0,27.0,1.9179,1.2263
CB,7,46.0,26.0,2.1472,0.794
CB,8,55.0,17.0,1.8101,1.1681
CB,9,45.0,27.0,1.9228,1.2181
CB,10,44.0,28.0,1.9951,1.1296
CF,1,44.0,28.0,1.6113,1.7328
CF,2,43.0,29.0,1.7006,1.5962
CF,3,34.0,38.0,1.5297,1.7738
CF,4,29.0,43.0,1.2623,1.9258
CF,5,30.0,42.0,1.5853,1.7109
CF,6,38.0,34.0,1.6048,1.7186
CF,7,42.0,30.0,1.4305,1.9778
CF,8,49.0,23.0,1.5652,1.8574
CF,9,45.0,27.0,1.5368,1.8614
CF,10,28.0,44.0,1.429,1.8047
CUTS,1,37.0,35.0,1.8315,1.4757
CUTS,2,44.0,28.0,1.8108,1.4193
CUTS,3,45.0,27.0,1.879,1.2911
CUTS,4,43.0,29.0,1.8819,1.3274
CUTS,5,40.0,32.0,1.9935,1.2398
CUTS,6,42.0,30.0,2.0458,1.1164
CUTS,7,53.0,19.0,1.7863,1.3021
CUTS,8,42.0,30.0,1.9625,1.233
CUTS,9,38.0,34.0,1.8943,1.3951
CUTS,10,46.0,26.0,1.9466,1.1489
DR_L,1,35.0,23.0,1.2049,1.9741
DR_L,2,47.0,25.0,1.5861,1.7947
DR_L,3,49.0,23.0,1.5653,1.8572
DR_L,4,46.0,26.0,1.4997,1.9396
DR_L,5,49.0,23.0,1.5657,1.8563
DR_L,6,56.0,16.0,1.6657,1.6337
DR_L,7,53.0,19.0,1.6601,1.6542
DR_L,8,50.0,22.0,1.6655,1.6428
DR_L,9,41.0,31.0,1.6931,1.6128
DR_L,10,47.0,25.0,1.5029,1.9512
FDR,1,53.0,19.0,2.0664,0.5208
FDR,2,51.0,21.0,2.0067,0.813
FDR,3,49.0,23.0,2.1449,0.6225
FDR,4,48.0,24.0,2.2175,0.5407
FDR,5,51.0,21.0,2.0461,0.7174
FDR,6,55.0,17.0,1.9669,0.661
FDR,7,46.0,26.0,2.2428,0.6248
FDR,8,52.0,20.0,1.9768,0.831
FDR,9,50.0,22.0,2.1209,0.6077
FDR,10,55.0,17.0,1.9913,0.5821
R_L,1,35.0,23.0,1.339,1.7699
R_L,2,38.0,34.0,1.4469,1.8951
R_L,3,50.0,22.0,1.6839,1.6009
R_L,4,50.0,22.0,1.5982,1.7958
R_L,5,51.0,21.0,1.5846,1.8382
R_L,6,45.0,27.0,1.726,1.5461
R_L,7,45.0,27.0,1.795,1.4311
R_L,8,56.0,16.0,1.7291,1.4116
R_L,9,47.0,25.0,1.6772,1.6236
R_L,10,45.0,27.0,1.6615,1.6537
S_L,1,56.0,16.0,1.7962,1.1769
S_L,2,52.0,20.0,1.8888,1.06
S_L,3,54.0,18.0,1.8445,1.1008
S_L,4,52.0,20.0,1.8032,1.2826
S_L,5,56.0,16.0,1.7689,1.2724
S_L,6,52.0,20.0,1.7393,1.4485
S_L,7,55.0,17.0,1.7348,1.412
S_L,8,54.0,18.0,1.7501,1.3838
S_L,9,50.0,22.0,1.8105,1.3132
S_L,10,57.0,15.0,1.7555,1.2902
XGB,1,54.0,18.0,1.8576,1.0614
XGB,2,56.0,16.0,1.8879,0.8557
XGB,3,49.0,23.0,1.7828,1.3939
XGB,4,54.0,18.0,1.8225,1.1668
XGB,5,51.0,21.0,1.7505,1.4352
XGB,6,56.0,16.0,1.8316,1.053
XGB,7,53.0,19.0,1.8398,1.153
XGB,8,53.0,19.0,1.8275,1.1872
XGB,9,55.0,17.0,1.8466,1.0501
XGB,10,55.0,17.0,1.8071,1.1779
X_L,1,53.0,19.0,2.0064,0.6882
X_L,2,53.0,19.0,2.0113,0.6745
X_L,3,54.0,18.0,2.0063,0.6153
X_L,4,53.0,19.0,1.964,0.8065
X_L,5,52.0,20.0,2.0033,0.7623
X_L,6,51.0,21.0,2.04,0.7322
X_L,7,54.0,18.0,1.9906,0.6626
X_L,8,52.0,20.0,2.0003,0.7701
X_L,9,55.0,17.0,1.9089,0.8487
X_L,10,58.0,14.0,1.8376,0.9169
