Method,Recovery_Ratio,Recovery_Ratio_std,CAU,CAU_std,CAU_pp,CAU_pp_std,RRD,RRD_std,RRD_pp,RRD_pp_std,extra_recoveries,extra_recoveries_std,Following_Count,NotFollowing_Count,Following_Recovery,NotFollowing_Recovery,N_Runs,N_Valid_CAU_Runs,CAU_ci95_lo,CAU_ci95_hi,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD_ci95_lo,RRD_ci95_hi,RRD_pp_ci95_lo,RRD_pp_ci95_hi,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU_pp_perm_p
BITES,2.839143934496876,1.0867147129753851,0.036218271191480925,0.02032786787166655,3.6218271191480924,2.0327867871666547,0.4002658902391,0.21363055570476064,40.02658902391,21.363055570476064,2.6077155257866265,1.4636064867599916,6.6,65.4,4.1,14.9,10,10,0.021890438407650002,0.05000691204423708,2.189043840765,5.000691204423708,0.2633881663658068,0.5031022937369725,26.33881663658068,50.310229373697254,2.0634920634920633,3.3732884851634846,0.000999000999000999
CB,2.2463682681153267,1.0375854228428176,0.06951019269678463,0.035329218628323486,6.951019269678463,3.5329218628323487,0.21018389372342683,0.10023969055574207,21.018389372342682,10.02396905557421,5.004733874168493,2.5437037412392907,23.8,48.2,9.6,9.4,10,10,0.045961622807017544,0.09481452706922436,4.596162280701754,9.481452706922434,0.1423456577700931,0.28328264072634335,14.234565777009308,28.328264072634333,1.6642054613674262,2.6576374899500803,0.000999000999000999
CF,0.5947320804231337,0.14661976150400463,-0.06795569150001211,0.040863758197528924,-6.795569150001211,4.086375819752893,-0.13932274859966715,0.06725060479818423,-13.932274859966714,6.725060479818424,-4.892809788000872,2.9421905902220824,33.8,38.2,6.5,12.5,10,10,-0.0926512593548135,-0.03268916942231353,-9.26512593548135,-3.2689169422313533,-0.1940093300979377,-0.06986070101915404,-19.40093300979377,-6.986070101915404,0.4567366916420655,0.7610601850317414,0.000999000999000999
CUTS,1.834030995197524,0.3202944077515761,0.06384394676765673,0.016786243280686827,6.384394676765673,1.6786243280686828,0.16243666999947198,0.04856771231883677,16.243666999947198,4.856771231883677,4.596764167271284,1.208609516209452,29.0,43.0,10.4,8.6,10,10,0.03674919662653307,0.09230030882308685,3.674919662653307,9.230030882308684,0.09012250370747014,0.2258986618634765,9.012250370747015,22.58986618634765,1.404293320729507,2.31355975821534,0.002997002997002997
DR_L,0.6695844924249738,0.24972041012232038,-0.039054642538109224,0.04367370558095158,-3.905464253810922,4.367370558095157,-0.11069161726135701,0.10811592321596858,-11.069161726135702,10.811592321596859,-2.598141159295588,2.5411066070144432,23.3,47.3,4.5,14.2,10,10,-0.05789880252339353,-0.012971570499548408,-5.789880252339352,-1.2971570499548408,-0.17153495203475075,-0.03906372295578909,-17.153495203475075,-3.9063722955789095,0.46562154979844406,0.859484828200259,0.07892107892107893
FDR,3.2857644337012353,1.2764648885346344,0.09906966502455813,0.041177421212919126,9.906966502455813,4.117742121291912,0.33018459920719995,0.10221660672022477,33.01845992071999,10.221660672022477,7.133015881768186,2.9647743273301765,21.0,51.0,10.5,8.5,10,10,0.07471695285748407,0.12175152064036401,7.4716952857484085,12.175152064036402,0.26343830624080466,0.40618917213871825,26.343830624080468,40.618917213871825,2.4137961596120645,3.8891336220944623,0.000999000999000999
R_L,0.7843258586752831,0.2985523931101855,-0.02518380271236837,0.03482871039969301,-2.518380271236837,3.4828710399693,-0.0719046500702869,0.08871096049254497,-7.190465007028689,8.871096049254497,-1.6794406918422466,2.227268574233714,24.4,46.2,5.4,13.3,10,10,-0.04710295279010401,6.829680300065417e-05,-4.710295279010401,0.006829680300065416,-0.13674703601351876,0.00020147104903341356,-13.674703601351876,0.020147104903341356,0.5611795620437956,1.000725272501619,0.37662337662337664
S_L,1.8630786824583616,0.33224865699234774,0.046872754925386506,0.017451777881139014,4.68727549253865,1.7451777881139015,0.18219063965503596,0.05651423989914346,18.219063965503594,5.651423989914346,3.3748383546278284,1.256528007442009,18.2,53.8,7.3,11.7,10,10,0.02754719687494078,0.06795210370560989,2.754719687494078,6.795210370560988,0.11132573383994161,0.26328588609959785,11.132573383994162,26.328588609959784,1.4743779205785266,2.3196778952384176,0.000999000999000999
XGB,2.664768763340576,0.3987540179379235,0.07702207431476497,0.008041791216725842,7.702207431476498,0.8041791216725844,0.3082399581120673,0.0633367634002833,30.823995811206725,6.33367634002833,5.545589350663078,0.5790089676042611,18.4,53.6,9.0,10.0,10,10,0.05647664835164835,0.09996372863475637,5.647664835164835,9.996372863475637,0.22889288282192466,0.3881907954533968,22.889288282192464,38.81907954533968,2.1002793135598665,3.3959415232857286,0.000999000999000999
X_L,2.7025590295497417,0.48635930394950344,0.07909665846249718,0.01760604565875107,7.909665846249719,1.7606045658751068,0.3073427639222249,0.0644427896899926,30.734276392222494,6.444278968999261,5.6949594092997975,1.2676352874300767,18.5,53.5,9.1,9.9,10,10,0.056054113404109346,0.1008625135425983,5.605411340410934,10.086251354259831,0.22689440897217963,0.38814056871137054,22.689440897217963,38.814056871137055,2.096377158310797,3.3753331715921435,0.16283716283716285
