Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,64,8,16,3,1.5
CB,45,27,8,11,2.2916666666666665
CF,44,28,13,6,0.7252747252747253
CUTS,37,35,8,11,1.4535714285714285
DR_L,35,23,15,1,0.10144927536231885
EP_L,43,15,7,9,3.6857142857142855
FDR,53,19,9,10,3.0994152046783627
LR,51,21,11,8,1.7662337662337662
NN,57,15,14,5,1.3571428571428572
RF,36,36,10,9,0.8999999999999999
R_L,35,23,13,3,0.3511705685618729
SVR,59,13,14,5,1.620879120879121
S_L,56,16,13,6,1.6153846153846154
XGB,54,18,10,9,2.7
X_L,53,19,10,9,2.5105263157894733
