Method,Following_Avg_RCB,Following_Avg_RCB_std,NotFollowing_Avg_RCB,NotFollowing_Avg_RCB_std,Following_Count,NotFollowing_Count,N_Runs
BITES,1.54253,0.34212636732970797,1.7579,0.039448531869597715,14.8,132.2,10
CB,1.05632,0.11205069090966525,2.14276,0.09895057352031872,55.0,92.0,10
CF,1.29308,0.11149879720327821,1.97347,0.049216913307881846,52.6,94.4,10
CUTS,1.16159,0.09863053899387463,2.0423400000000003,0.05968106344003387,51.6,95.4,10
DR_L,1.55944,0.10894671684411189,1.8180900000000002,0.05378050968726696,48.2,98.8,10
FDR,0.57381,0.04955747392898697,1.98,0.032963683720792544,25.8,121.2,10
R_L,1.49729,0.17465149075293404,1.81957,0.07029879167603882,37.7,109.3,10
S_L,1.2869899999999999,0.08846200000251202,1.97655,0.042731467717986645,52.2,94.8,10
XGB,1.2433900000000002,0.09311835300662631,1.9982699999999998,0.03474536100130652,52.1,94.9,10
X_L,0.9151,0.11043576312851637,1.9354500000000001,0.03293391531199672,29.2,117.8,10
