Method,Run,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,1,140.0,7.0,1.7195,1.9973
BITES,2,130.0,17.0,1.8261,1.0193
BITES,3,131.0,16.0,1.718,1.8534
BITES,4,135.0,12.0,1.7345,1.7137
BITES,5,134.0,13.0,1.7326,1.7343
BITES,6,135.0,12.0,1.7659,1.3605
BITES,7,126.0,21.0,1.8002,1.3281
BITES,8,137.0,10.0,1.7799,1.0865
BITES,9,131.0,16.0,1.7146,1.8812
BITES,10,123.0,24.0,1.7877,1.451
CB,1,88.0,59.0,2.2411,0.9745
CB,2,95.0,52.0,2.1459,0.9779
CB,3,94.0,53.0,2.1056,1.0715
CB,4,90.0,57.0,2.2102,0.9789
CB,5,79.0,68.0,2.2828,1.0938
CB,6,97.0,50.0,1.9332,1.3439
CB,7,93.0,54.0,2.183,0.9573
CB,8,91.0,56.0,2.1482,1.0577
CB,9,99.0,48.0,2.0613,1.0552
CB,10,94.0,53.0,2.1163,1.0525
CF,1,96.0,51.0,2.0497,1.1361
CF,2,100.0,47.0,1.9655,1.2376
CF,3,84.0,63.0,1.8909,1.522
CF,4,97.0,50.0,1.9784,1.2563
CF,5,95.0,52.0,2.0174,1.2127
CF,6,91.0,56.0,1.9667,1.3527
CF,7,95.0,52.0,1.9931,1.2571
CF,8,95.0,52.0,2.0177,1.2122
CF,9,99.0,48.0,1.9108,1.3655
CF,10,92.0,55.0,1.9445,1.3786
CUTS,1,98.0,49.0,2.0555,1.0872
CUTS,2,99.0,48.0,2.0082,1.1646
CUTS,3,96.0,51.0,2.0463,1.1425
CUTS,4,93.0,54.0,2.1091,1.0846
CUTS,5,91.0,56.0,2.0096,1.2829
CUTS,6,94.0,53.0,2.0901,1.0991
CUTS,7,99.0,48.0,2.0315,1.1166
CUTS,8,93.0,54.0,2.136,1.0383
CUTS,9,92.0,55.0,2.008,1.2724
CUTS,10,99.0,48.0,1.9291,1.3277
DR_L,1,97.0,50.0,1.8182,1.5669
DR_L,2,94.0,53.0,1.7985,1.6161
DR_L,3,105.0,42.0,1.8649,1.4023
DR_L,4,106.0,41.0,1.7375,1.7206
DR_L,5,95.0,52.0,1.7527,1.6963
DR_L,6,97.0,50.0,1.8278,1.5484
DR_L,7,105.0,42.0,1.7897,1.5904
DR_L,8,96.0,51.0,1.8094,1.5884
DR_L,9,92.0,55.0,1.914,1.4297
DR_L,10,101.0,46.0,1.8682,1.4353
FDR,1,123.0,24.0,1.9592,0.5721
FDR,2,121.0,26.0,1.9832,0.5672
FDR,3,124.0,23.0,1.949,0.5668
FDR,4,125.0,22.0,1.9426,0.5408
FDR,5,119.0,28.0,1.9865,0.6543
FDR,6,123.0,24.0,1.9552,0.5927
FDR,7,122.0,25.0,1.9583,0.6323
FDR,8,119.0,28.0,2.0266,0.484
FDR,9,120.0,27.0,2.0035,0.5293
FDR,10,116.0,31.0,2.0359,0.5986
R_L,1,105.0,42.0,1.8221,1.5095
R_L,2,118.0,29.0,1.7194,1.7871
R_L,3,117.0,30.0,1.794,1.4938
R_L,4,108.0,39.0,1.7291,1.7429
R_L,5,114.0,33.0,1.819,1.435
R_L,6,104.0,43.0,1.9019,1.3237
R_L,7,108.0,39.0,1.8365,1.4454
R_L,8,113.0,34.0,1.8635,1.2981
R_L,9,107.0,40.0,1.7712,1.63
R_L,10,99.0,48.0,1.939,1.3074
S_L,1,96.0,51.0,2.0086,1.2135
S_L,2,98.0,49.0,2.0,1.1982
S_L,3,91.0,56.0,1.9528,1.3752
S_L,4,96.0,51.0,2.0086,1.2135
S_L,5,98.0,49.0,1.9819,1.2344
S_L,6,91.0,56.0,2.0344,1.2427
S_L,7,92.0,55.0,1.972,1.3326
S_L,8,92.0,55.0,1.884,1.4797
S_L,9,100.0,47.0,1.9409,1.2899
S_L,10,94.0,53.0,1.9823,1.2902
XGB,1,92.0,55.0,2.017,1.2573
XGB,2,99.0,48.0,1.9566,1.2711
XGB,3,95.0,52.0,1.9666,1.3055
XGB,4,99.0,48.0,2.0441,1.0906
XGB,5,95.0,52.0,2.0107,1.2251
XGB,6,97.0,50.0,1.9984,1.2174
XGB,7,92.0,55.0,2.0074,1.2734
XGB,8,96.0,51.0,2.0255,1.1818
XGB,9,87.0,60.0,1.9341,1.4407
XGB,10,97.0,50.0,2.0223,1.171
X_L,1,117.0,30.0,1.9292,0.9667
X_L,2,116.0,31.0,1.9331,0.9832
X_L,3,115.0,32.0,1.9478,0.9598
X_L,4,122.0,25.0,1.8985,0.9241
X_L,5,112.0,35.0,1.9868,0.9198
X_L,6,120.0,27.0,1.9689,0.6833
X_L,7,118.0,29.0,1.9747,0.7485
X_L,8,119.0,28.0,1.8995,1.0243
X_L,9,121.0,26.0,1.9008,0.9509
X_L,10,118.0,29.0,1.9152,0.9904
