Method,Recovery_Ratio,Recovery_Ratio_std,CAU,CAU_std,CAU_pp,CAU_pp_std,RRD,RRD_std,RRD_pp,RRD_pp_std,extra_recoveries,extra_recoveries_std,Following_Count,NotFollowing_Count,Following_Recovery,NotFollowing_Recovery,N_Runs,N_Valid_CAU_Runs,CAU_ci95_lo,CAU_ci95_hi,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD_ci95_lo,RRD_ci95_hi,RRD_pp_ci95_lo,RRD_pp_ci95_hi,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU_pp_perm_p
BITES,1.0934884492605081,0.7159632846132518,0.0030494579398225702,0.017444879527121003,0.304945793982257,1.7444879527121002,0.012829292950750016,0.16865505212314638,1.2829292950750015,16.865505212314638,0.44827031715391785,2.564397290486787,14.8,132.2,4.2,33.8,10,10,-0.004582970318844655,0.01082982360375644,-0.4582970318844655,1.0829823603756439,-0.04728886536437714,0.10526441568054196,-4.728886536437713,10.526441568054196,0.8163732229946403,1.429078356623034,0.8381618381618382
CB,2.9686089026041937,0.8855762081469871,0.10395457941740975,0.03713872978864525,10.395457941740975,3.713872978864525,0.2762400969016511,0.09683685761378955,27.624009690165103,9.683685761378953,15.281323174359235,5.459393278930851,55.0,92.0,23.7,14.3,10,10,0.08436438211648296,0.12220895649926637,8.436438211648294,12.220895649926637,0.22673107258535127,0.3235790576937492,22.673107258535126,32.357905769374916,2.339758255981422,3.363395191763294,0.000999000999000999
CF,1.5419214143002302,0.17404031442863113,0.041589022551720506,0.012143668779271994,4.15890225517205,1.2143668779271994,0.11570092550860826,0.03086539852421388,11.570092550860826,3.0865398524213887,6.113586315102914,1.7851193105529828,52.6,94.4,17.5,20.5,10,10,0.02447691430566599,0.059865642569392176,2.447691430566599,5.986564256939218,0.06835158243255454,0.16609243662557,6.835158243255455,16.609243662557,1.290629559787333,1.8229901628841867,0.000999000999000999
CUTS,2.775000787996071,0.5418086044866648,0.09721289658150742,0.01916418856009884,9.721289658150742,1.9164188560098836,0.27711929243506517,0.05250648256298233,27.711929243506518,5.250648256298231,14.29029579748159,2.81713571833453,51.6,95.4,22.6,15.4,10,10,0.07997550243994034,0.11568412594991488,7.997550243994033,11.568412594991488,0.23024117235010813,0.3245110793429187,23.024117235010813,32.45110793429186,2.323952729738383,3.2455714186027302,0.000999000999000999
DR_L,1.1930271755389337,0.21405217189059755,0.014904025225211604,0.016525646659297868,1.4904025225211606,1.6525646659297866,0.043864047848296915,0.04871462412742564,4.386404784829692,4.871462412742565,2.190891708106106,2.4292700589167864,48.2,98.8,13.9,24.1,10,10,-0.0002325736160279724,0.0305418929992081,-0.02325736160279724,3.0541892999208096,-0.0007027000843229283,0.09184132097003105,-0.07027000843229282,9.184132097003104,0.9974561037343843,1.3970081032412964,0.1848151848151848
FDR,3.798108472944314,0.4202827678891819,0.08450096219164811,0.009734659955531196,8.450096219164811,0.9734659955531195,0.4839434178933705,0.05517737381594202,48.39434178933705,5.5177373815942055,12.421641442172273,1.4309950134630853,25.8,121.2,16.9,21.1,10,10,0.07067845960992439,0.09854888316473345,7.067845960992438,9.854888316473346,0.4221133796205469,0.5422408627716038,42.211337962054685,54.224086277160374,3.2862220265621027,4.378636411712475,0.000999000999000999
R_L,0.8939790844268236,0.33843327505004334,-0.007087197429732699,0.02359492996853661,-0.7087197429732699,2.359492996853661,-0.03527255311596444,0.0892597591284544,-3.527255311596444,8.92597591284544,-1.0418180221707067,3.468454705374881,37.7,109.3,8.9,29.1,10,10,-0.02012272296520788,0.00507715040445751,-2.012272296520788,0.5077150404457509,-0.0788406119089777,0.019482804304161876,-7.8840611908977705,1.9482804304161874,0.7195714151218163,1.0773762291001556,0.25674325674325676
S_L,1.231439739710915,0.14137142140996667,0.018963444269047548,0.011369240535661223,1.8963444269047547,1.136924053566122,0.05399866367778472,0.0323007065576967,5.399866367778473,3.2300706557696697,2.7876263075499894,1.6712783587421998,52.2,94.8,15.3,22.7,10,10,0.0016047354802472607,0.03620419531657958,0.16047354802472608,3.6204195316579577,0.0047010403053251775,0.10315729175046877,0.4701040305325177,10.315729175046878,1.0184940228910455,1.4589827616080664,0.014985014985014986
XGB,1.4099036307943393,0.19230900115896235,0.03185658675587661,0.013053449105012015,3.185658675587661,1.3053449105012014,0.09065546155054974,0.03766338087809533,9.065546155054973,3.7663380878095327,4.682918253113861,1.9188570184367657,52.1,94.9,16.5,21.5,10,10,0.015009337809433086,0.04968683035491219,1.5009337809433085,4.968683035491219,0.04375014810803135,0.1394940821754784,4.375014810803135,13.949408217547841,1.1834297037005495,1.669655334735403,0.001998001998001998
X_L,2.2184311160610153,0.5382543686149455,0.04886832171125819,0.016984383669885365,4.886832171125819,1.698438366988537,0.24747186033015117,0.08776360364930359,24.747186033015115,8.776360364930358,7.1836432915549535,2.4967043994731486,29.2,117.8,13.3,24.7,10,10,0.035349312623501876,0.06329493638622871,3.5349312623501876,6.329493638622871,0.181873136043911,0.3073136254455012,18.1873136043911,30.731362544550123,1.8230544455544455,2.568579821929411,0.9500499500499501
