Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,130,17,31,7,1.7267552182163186
CB,97,50,15,23,2.974666666666667
CF,96,51,21,17,1.5238095238095237
CUTS,98,49,16,22,2.75
DR_L,97,50,23,15,1.2652173913043478
EP_L,109,38,14,24,4.917293233082706
FDR,123,24,22,16,3.727272727272727
LR,96,51,22,16,1.3689839572192515
NN,115,32,27,11,1.4641203703703702
RF,88,59,22,16,1.0847457627118644
R_L,105,42,28,10,0.8928571428571428
SVR,92,55,21,17,1.354112554112554
S_L,96,51,22,16,1.3689839572192515
XGB,92,55,22,16,1.2165289256198346
X_L,117,30,27,11,1.5888888888888888
