Method,Following_Avg_RCB,Following_Avg_RCB_std,NotFollowing_Avg_RCB,NotFollowing_Avg_RCB_std,Following_Count,NotFollowing_Count,N_Runs
BITES,1.39939,0.20093367866592748,1.7545899999999999,0.03308619886834323,27.9,191.1,10
CB,1.1594799999999998,0.11894454169906243,2.04028,0.06466637113334528,82.9,136.1,10
CF,1.8611,0.11358967089191407,1.56966,0.10793259419141604,103.1,115.9,10
CUTS,1.23905,0.0631885230437018,1.9450299999999998,0.04221719107451634,73.3,145.7,10
DR_L,1.81766,0.09278754945214,1.6583100000000002,0.04314292654782606,69.0,150.0,10
FDR,1.08957,0.04937563614217488,2.24029,0.06526076667237878,101.0,118.0,10
R_L,2.1078400000000004,0.10095646146290534,1.55125,0.04500682047077852,61.6,157.4,10
S_L,1.2125299999999999,0.08073531583032435,1.9193500000000001,0.03458683917972908,65.6,153.4,10
XGB,1.2892299999999999,0.16337872192478967,1.9101700000000001,0.060497126653530665,72.6,146.4,10
X_L,1.62519,0.11619883772606712,1.74212,0.048380661885142034,61.4,157.6,10
