Method,Run,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,1,193.0,26.0,1.7701,1.2502
BITES,2,187.0,32.0,1.7876,1.2452
BITES,3,196.0,23.0,1.7095,1.6985
BITES,4,190.0,29.0,1.7207,1.6273
BITES,5,194.0,25.0,1.762,1.2924
BITES,6,186.0,33.0,1.8213,1.072
BITES,7,189.0,30.0,1.7305,1.5692
BITES,8,190.0,29.0,1.7405,1.4977
BITES,9,189.0,30.0,1.7473,1.4633
BITES,10,197.0,22.0,1.7564,1.2781
CB,1,138.0,81.0,2.1013,1.0389
CB,2,135.0,84.0,1.9171,1.3728
CB,3,136.0,83.0,2.1136,1.0443
CB,4,143.0,76.0,2.0398,1.0848
CB,5,138.0,81.0,1.9786,1.248
CB,6,132.0,87.0,2.1308,1.0675
CB,7,141.0,78.0,2.0467,1.0968
CB,8,120.0,99.0,2.0245,1.3251
CB,9,138.0,81.0,2.0428,1.1385
CB,10,140.0,79.0,2.0076,1.1781
CF,1,117.0,102.0,1.7204,1.6946
CF,2,131.0,88.0,1.5937,1.879
CF,3,110.0,109.0,1.6729,1.7442
CF,4,115.0,104.0,1.494,1.9454
CF,5,122.0,97.0,1.6922,1.7287
CF,6,101.0,118.0,1.4889,1.8962
CF,7,127.0,92.0,1.5604,1.9126
CF,8,113.0,106.0,1.4297,2.0055
CF,9,112.0,107.0,1.4236,2.0064
CF,10,111.0,108.0,1.6208,1.7984
CUTS,1,144.0,75.0,1.8747,1.389
CUTS,2,152.0,67.0,1.9043,1.2639
CUTS,3,141.0,78.0,1.9457,1.2794
CUTS,4,157.0,62.0,1.9094,1.1993
CUTS,5,155.0,64.0,1.9276,1.1773
CUTS,6,145.0,74.0,1.9629,1.2097
CUTS,7,143.0,76.0,1.9752,1.2062
CUTS,8,135.0,84.0,2.0039,1.2334
CUTS,9,141.0,78.0,2.0013,1.1788
CUTS,10,144.0,75.0,1.9453,1.2535
DR_L,1,148.0,71.0,1.7208,1.6825
DR_L,2,147.0,72.0,1.6962,1.7333
DR_L,3,156.0,63.0,1.7142,1.6939
DR_L,4,165.0,54.0,1.6477,1.8939
DR_L,5,146.0,73.0,1.619,1.887
DR_L,6,145.0,74.0,1.5953,1.9299
DR_L,7,151.0,68.0,1.639,1.8625
DR_L,8,152.0,67.0,1.6273,1.8924
DR_L,9,146.0,73.0,1.6363,1.8525
DR_L,10,144.0,75.0,1.6873,1.7487
FDR,1,124.0,95.0,2.2163,1.0454
FDR,2,117.0,102.0,2.238,1.1009
FDR,3,115.0,104.0,2.3126,1.0402
FDR,4,128.0,91.0,2.0849,1.1787
FDR,5,113.0,106.0,2.2773,1.1018
FDR,6,117.0,102.0,2.2478,1.0896
FDR,7,116.0,103.0,2.243,1.1062
FDR,8,113.0,106.0,2.2304,1.1519
FDR,9,124.0,95.0,2.2302,1.0272
FDR,10,113.0,106.0,2.3224,1.0538
R_L,1,162.0,57.0,1.592,2.0391
R_L,2,155.0,64.0,1.563,2.0605
R_L,3,160.0,59.0,1.48,2.3276
R_L,4,168.0,51.0,1.5995,2.0668
R_L,5,158.0,61.0,1.5612,2.0896
R_L,6,149.0,70.0,1.5558,2.0331
R_L,7,151.0,68.0,1.5515,2.0568
R_L,8,162.0,57.0,1.5436,2.1765
R_L,9,149.0,70.0,1.469,2.2178
R_L,10,160.0,59.0,1.5969,2.0106
S_L,1,150.0,69.0,1.9567,1.1686
S_L,2,145.0,74.0,1.8619,1.4076
S_L,3,167.0,52.0,1.8786,1.1615
S_L,4,152.0,67.0,1.9392,1.1848
S_L,5,156.0,63.0,1.9202,1.1837
S_L,6,156.0,63.0,1.8754,1.2947
S_L,7,152.0,67.0,1.9539,1.1513
S_L,8,150.0,69.0,1.9386,1.208
S_L,9,149.0,70.0,1.94,1.2154
S_L,10,157.0,62.0,1.929,1.1497
XGB,1,131.0,88.0,1.9035,1.4179
XGB,2,147.0,72.0,1.7645,1.5937
XGB,3,147.0,72.0,1.9136,1.2893
XGB,4,156.0,63.0,1.9712,1.0574
XGB,5,145.0,74.0,1.9424,1.2499
XGB,6,152.0,67.0,1.9529,1.1535
XGB,7,145.0,74.0,1.9233,1.2871
XGB,8,154.0,65.0,1.9655,1.099
XGB,9,138.0,81.0,1.8702,1.4326
XGB,10,149.0,70.0,1.8946,1.3119
X_L,1,145.0,74.0,1.8347,1.4609
X_L,2,158.0,61.0,1.7473,1.6076
X_L,3,154.0,65.0,1.7302,1.6567
X_L,4,161.0,58.0,1.7093,1.7057
X_L,5,162.0,57.0,1.7581,1.567
X_L,6,164.0,55.0,1.7918,1.4595
X_L,7,157.0,62.0,1.7109,1.702
X_L,8,158.0,61.0,1.7598,1.5753
X_L,9,158.0,61.0,1.7188,1.6814
X_L,10,159.0,60.0,1.6603,1.8358
