Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,198,21,49,8,1.5393586005830902
CB,139,80,27,30,1.9305555555555554
CF,117,102,30,27,1.0323529411764707
CUTS,144,75,31,26,1.6103225806451613
DR_L,148,71,37,20,1.1267605633802817
EP_L,143,76,33,24,1.3684210526315788
FDR,123,96,17,40,3.014705882352941
LR,137,82,41,16,0.6519928613920285
NN,166,53,50,7,0.4384905660377358
RF,125,94,28,29,1.3772796352583587
R_L,162,57,45,12,0.7578947368421052
SVR,146,73,30,27,1.8
S_L,150,69,32,25,1.6983695652173911
XGB,131,88,27,30,1.6540404040404038
X_L,145,74,34,23,1.3255166931637519
