DataSet,Method,Recovery_Ratio,Recovery_Ratio_std,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU,CAU_std,CAU_ci95_lo,CAU_ci95_hi,CAU_pp,CAU_pp_std,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD,RRD_std,RRD_ci95_lo,RRD_ci95_hi,RRD_pp,RRD_pp_std,RRD_pp_ci95_lo,RRD_pp_ci95_hi,extra_recoveries,extra_recoveries_std,CAU_pp_perm_p,N_Runs,N_Valid_CAU_Runs,Modality,Dataset
clin_TransNEO,BITES,0.926,0.2564,0.7196,1.1782,-0.0024,0.0091,-0.0113,0.0069,-0.2396,0.9067,-1.132,0.6886,-0.0213,0.0679,-0.0753,0.0455,-2.1318,6.7879,-7.5264,4.5459,-0.3522,1.3329,0.6404,10,10,Clinical,TransNEO clinical
clin_TransNEO,CB,1.139,0.2581,0.9398,1.3153,0.0114,0.0238,-0.0062,0.0284,1.1413,2.3834,-0.6208,2.8392,0.0289,0.0623,-0.0159,0.0719,2.8859,6.2312,-1.5883,7.1949,1.6778,3.5036,0.2188,10,10,Clinical,TransNEO clinical
clin_TransNEO,CF,1.075,0.3304,0.86,1.2249,0.0011,0.0388,-0.0176,0.0242,0.111,3.8805,-1.7647,2.424,0.008,0.0812,-0.0387,0.0519,0.804,8.1165,-3.8687,5.1918,0.1632,5.7043,0.7473,10,10,Clinical,TransNEO clinical
clin_TransNEO,CUTS,0.9637,0.236,0.7685,1.1516,-0.0034,0.0167,-0.016,0.0101,-0.3425,1.6717,-1.5977,1.0072,-0.0131,0.0662,-0.0638,0.0378,-1.3051,6.6182,-6.3756,3.7753,-0.5034,2.4574,0.6374,10,10,Clinical,TransNEO clinical
clin_TransNEO,DR_L,1.0349,0.2067,0.8462,1.2305,0.0013,0.0147,-0.0127,0.0166,0.1333,1.4654,-1.2689,1.6649,0.0063,0.0509,-0.0427,0.0551,0.628,5.0868,-4.2668,5.5129,0.196,2.1541,0.989,10,10,Clinical,TransNEO clinical
clin_TransNEO,FDR,1.2465,0.218,1.0306,1.4575,0.0223,0.0185,0.0029,0.0392,2.2263,1.8539,0.2949,3.9218,0.0546,0.0465,0.0075,0.1016,5.4606,4.6463,0.7518,10.1602,3.2727,2.7252,0.1289,10,10,Clinical,TransNEO clinical
clin_TransNEO,R_L,0.302,0.0817,0.2212,0.3953,-0.0741,0.0167,-0.0883,-0.0601,-7.4094,1.668,-8.8266,-6.0082,-0.2329,0.0355,-0.2725,-0.1908,-23.2874,3.5477,-27.2495,-19.0806,-10.8918,2.4519,0.001,10,10,Clinical,TransNEO clinical
clin_TransNEO,S_L,1.0402,0.1364,0.8685,1.2404,0.0026,0.0114,-0.0111,0.0176,0.2551,1.1448,-1.1063,1.7569,0.0089,0.0345,-0.036,0.0566,0.8894,3.4458,-3.6,5.6643,0.375,1.6828,0.977,10,10,Clinical,TransNEO clinical
clin_TransNEO,XGB,1.1584,0.4433,0.9071,1.304,0.008,0.0344,-0.0084,0.0247,0.8004,3.4372,-0.8385,2.4724,0.0261,0.1002,-0.0245,0.0721,2.6106,10.0227,-2.4491,7.2075,1.1766,5.0526,0.6533,10,10,Clinical,TransNEO clinical
clin_TransNEO,X_L,1.6799,0.3552,1.3803,1.9653,0.0514,0.0228,0.0334,0.0697,5.141,2.2756,3.3441,6.9654,0.1337,0.0609,0.0879,0.1795,13.3659,6.0869,8.7891,17.9541,7.5573,3.3451,0.001,10,10,Clinical,TransNEO clinical
clin_ARTemis,BITES,0.0,0.0,0.0,0.0,-0.0093,0.0046,-0.0144,-0.0048,-0.9317,0.4593,-1.4421,-0.4761,-0.2651,0.0046,-0.3115,-0.222,-26.5131,0.4593,-31.1455,-22.195,-0.4006,0.1975,0.0899,10,10,Clinical,ARTemis clinical
clin_ARTemis,CB,1.4913,0.8201,0.9629,1.8921,0.023,0.0465,-0.0025,0.0511,2.3028,4.654,-0.2471,5.1072,0.0804,0.1566,-0.0089,0.1806,8.0419,15.6585,-0.8924,18.0647,0.9902,2.0012,0.5135,10,10,Clinical,ARTemis clinical
clin_ARTemis,CF,1.197,0.5979,0.753,1.5872,0.0082,0.0327,-0.0163,0.0317,0.8166,3.2715,-1.6299,3.1686,0.0321,0.1575,-0.0672,0.131,3.2114,15.7506,-6.7207,13.102,0.3511,1.4067,0.5145,10,10,Clinical,ARTemis clinical
clin_ARTemis,CUTS,0.5138,0.4047,0.2994,0.7047,-0.0568,0.0423,-0.0812,-0.0269,-5.6789,4.2286,-8.1153,-2.6863,-0.1664,0.1302,-0.2407,-0.0818,-16.6353,13.0231,-24.0672,-8.1834,-2.4419,1.8183,0.003,10,10,Clinical,ARTemis clinical
clin_ARTemis,DR_L,0.9109,0.5424,0.4468,1.2096,-0.0131,0.0354,-0.0369,0.0113,-1.3104,3.5367,-3.6857,1.1309,-0.0449,0.1595,-0.1675,0.0513,-4.4912,15.9486,-16.7534,5.13,-0.4729,1.2019,0.3037,10,10,Clinical,ARTemis clinical
clin_ARTemis,FDR,1.4684,0.355,1.0352,2.0478,0.0269,0.0215,0.002,0.0536,2.6906,2.1524,0.2047,5.3623,0.1005,0.0717,0.0081,0.2133,10.0472,7.1677,0.8146,21.3346,1.157,0.9255,0.021,10,10,Clinical,ARTemis clinical
clin_ARTemis,R_L,1.1092,0.7991,0.5092,1.245,-0.0165,0.0711,-0.0384,0.0146,-1.6514,7.1114,-3.8363,1.4587,-0.0056,0.2467,-0.1499,0.0594,-0.5597,24.6678,-14.9853,5.9352,-0.618,2.3924,0.3966,10,10,Clinical,ARTemis clinical
clin_ARTemis,S_L,0.7308,0.5578,0.3864,0.9687,-0.0237,0.0386,-0.0407,-0.0017,-2.3703,3.8642,-4.074,-0.1666,-0.0924,0.1604,-0.1829,-0.0077,-9.2449,16.0427,-18.2917,-0.7657,-1.0192,1.6616,0.0549,10,10,Clinical,ARTemis clinical
