DataSet,Method,Recovery_Ratio
GSE41998,BITES,1.6719
GSE41998,CB,7.1191
GSE41998,CF,0.9937
GSE41998,CUTS,1.6721
GSE41998,DR_L,1.4191
GSE41998,EP_L,1.899
GSE41998,FDR,5.7396
GSE41998,LR,1.0556
GSE41998,NN,1.1318
GSE41998,RF,1.4733
GSE41998,R_L,1.273
GSE41998,SVR,3.1288
GSE41998,S_L,0.9186
GSE41998,XGB,0.9474
GSE41998,X_L,0.6393
GSE22226,BITES,1.8667
GSE22226,CB,10.26
GSE22226,CF,1.1433
GSE22226,CUTS,1.5091
GSE22226,DR_L,1.6222
GSE22226,EP_L,4.5238
GSE22226,FDR,14.8065
GSE22226,LR,1.1077
GSE22226,NN,3.8163
GSE22226,RF,0.0
GSE22226,R_L,1.9762
GSE22226,SVR,9.375
GSE22226,S_L,0.2796
GSE22226,XGB,0.9818
GSE22226,X_L,5.6026
GSE22358,BITES,4.9359
GSE22358,CB,1.8086
GSE22358,CF,0.2842
GSE22358,CUTS,1.3744
GSE22358,DR_L,1.7727
GSE22358,EP_L,2.1282
GSE22358,FDR,3.5185
GSE22358,LR,3.5185
GSE22358,NN,2.9355
GSE22358,RF,1.4898
GSE22358,R_L,2.6591
GSE22358,SVR,9.2
GSE22358,S_L,0.6942
GSE22358,XGB,0.2842
GSE22358,X_L,1.5957
clin_TransNEO,BITES,1.5618
clin_TransNEO,CB,1.2074
clin_TransNEO,CF,1.6573
clin_TransNEO,CUTS,1.1686
clin_TransNEO,DR_L,0.7928
clin_TransNEO,EP_L,1.664
clin_TransNEO,FDR,1.1915
clin_TransNEO,LR,0.8
clin_TransNEO,NN,0.7312
clin_TransNEO,RF,1.2689
clin_TransNEO,R_L,0.2503
clin_TransNEO,SVR,1.0598
clin_TransNEO,S_L,0.989
clin_TransNEO,XGB,1.6485
clin_TransNEO,X_L,1.3942
clin_ARTemis,BITES,
clin_ARTemis,CB,2.4242
clin_ARTemis,CF,1.2375
clin_ARTemis,CUTS,0.4148
clin_ARTemis,DR_L,1.2857
clin_ARTemis,EP_L,0.7768
clin_ARTemis,FDR,2.24
clin_ARTemis,LR,2.1667
clin_ARTemis,NN,1.3333
clin_ARTemis,RF,1.6623
clin_ARTemis,R_L,1.6667
clin_ARTemis,SVR,1.4062
clin_ARTemis,S_L,0.5741
clin_ARTemis,XGB,2.4242
clin_ARTemis,X_L,1.2375
multi_Trans_ART,BITES,1.5394
multi_Trans_ART,CB,1.9306
multi_Trans_ART,CF,1.0324
multi_Trans_ART,CUTS,1.6103
multi_Trans_ART,DR_L,1.1268
multi_Trans_ART,EP_L,1.3684
multi_Trans_ART,FDR,3.0147
multi_Trans_ART,LR,0.652
multi_Trans_ART,NN,0.4385
multi_Trans_ART,RF,1.3773
multi_Trans_ART,R_L,0.7579
multi_Trans_ART,SVR,1.8
multi_Trans_ART,S_L,1.6984
multi_Trans_ART,XGB,1.654
multi_Trans_ART,X_L,1.3255
multi_TransNEO,BITES,1.7268
multi_TransNEO,CB,2.9747
multi_TransNEO,CF,1.5238
multi_TransNEO,CUTS,2.75
multi_TransNEO,DR_L,1.2652
multi_TransNEO,EP_L,4.9173
multi_TransNEO,FDR,3.7273
multi_TransNEO,LR,1.369
multi_TransNEO,NN,1.4641
multi_TransNEO,RF,1.0847
multi_TransNEO,R_L,0.8929
multi_TransNEO,SVR,1.3541
multi_TransNEO,S_L,1.369
multi_TransNEO,XGB,1.2165
multi_TransNEO,X_L,1.5889
multi_ARTemis,BITES,1.5
multi_ARTemis,CB,2.2917
multi_ARTemis,CF,0.7253
multi_ARTemis,CUTS,1.4536
multi_ARTemis,DR_L,0.1014
multi_ARTemis,EP_L,3.6857
multi_ARTemis,FDR,3.0994
multi_ARTemis,LR,1.7662
multi_ARTemis,NN,1.3571
multi_ARTemis,RF,0.9
multi_ARTemis,R_L,0.3512
multi_ARTemis,SVR,1.6209
multi_ARTemis,S_L,1.6154
multi_ARTemis,XGB,2.7
multi_ARTemis,X_L,2.5105
OOD_multi_Trans_ART,BITES,2.9333
OOD_multi_Trans_ART,CB,1.7662
OOD_multi_Trans_ART,CF,3.15
OOD_multi_Trans_ART,CUTS,1.1667
OOD_multi_Trans_ART,DR_L,1.3846
OOD_multi_Trans_ART,EP_L,1.8
OOD_multi_Trans_ART,FDR,4.0733
OOD_multi_Trans_ART,LR,0.2769
OOD_multi_Trans_ART,NN,0.3081
OOD_multi_Trans_ART,RF,0.5339
OOD_multi_Trans_ART,R_L,0.4118
OOD_multi_Trans_ART,SVR,2.9118
OOD_multi_Trans_ART,S_L,2.9118
OOD_multi_Trans_ART,XGB,2.1429
OOD_multi_Trans_ART,X_L,1.746
