Method,Clinical_mean,Clinical_std,Clinical_N_Datasets,Multiomics_mean,Multiomics_std,Multiomics_N_Datasets,Multiomics_minus_Clinical,Multiomics_minus_Clinical_std
FDR,2.46,0.33,2,9.18,1.03,2,6.72,0.7
CB,1.72,0.82,2,8.67,2.44,2,6.95,3.26
XGB,2.22,2.01,2,5.44,3.19,2,3.22,1.18
S_L,-1.06,1.86,2,3.29,1.97,2,4.35,3.83
X_L,1.39,5.3,2,6.4,2.14,2,5.01,7.44
DR_L,-0.59,1.02,2,-1.21,3.82,2,-0.62,2.79
R_L,-4.53,4.07,2,-1.61,1.28,2,2.92,5.35
CF,0.46,0.5,2,-1.32,7.75,2,-1.78,8.24
CUTS,-3.01,3.77,2,8.05,2.36,2,11.06,1.41
BITES,-0.59,0.49,2,1.96,2.35,2,2.55,2.83
