Cohort,Method,Clinical_value,Multiomics_value,Multiomics_minus_Clinical
ARTemis,FDR,2.69,9.91,7.22
TransNEO,FDR,2.23,8.45,6.22
ARTemis,CB,2.3,6.95,4.65
TransNEO,CB,1.14,10.4,9.25
ARTemis,XGB,3.65,7.7,4.05
TransNEO,XGB,0.8,3.19,2.39
ARTemis,S_L,-2.37,4.69,7.06
TransNEO,S_L,0.26,1.9,1.64
ARTemis,X_L,-2.36,7.91,10.27
TransNEO,X_L,5.14,4.89,-0.25
ARTemis,DR_L,-1.31,-3.91,-2.6
TransNEO,DR_L,0.13,1.49,1.36
ARTemis,R_L,-1.65,-2.52,-0.87
TransNEO,R_L,-7.41,-0.71,6.7
ARTemis,CF,0.82,-6.8,-7.61
TransNEO,CF,0.11,4.16,4.05
ARTemis,CUTS,-5.68,6.38,12.06
TransNEO,CUTS,-0.34,9.72,10.06
ARTemis,BITES,-0.93,3.62,4.55
TransNEO,BITES,-0.24,0.3,0.54
